,flux_bb,flux_bb_lolim,flux_bb_hilim,flux_brems,flux_brems_hilim,flux_brems_lolim,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,photflux_aper,photflux_aper_lolim,photflux_aper_hilim,flux_aper,flux_aper_lolim,flux_aper_hilim,photflux_aper_b,photflux_aper_h,photflux_aper_m,photflux_aper_u,photflux_aper_s,photflux_aper_lolim_b,photflux_aper_lolim_h,photflux_aper_lolim_m,photflux_aper_lolim_u,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_hilim_h,photflux_aper_hilim_m,photflux_aper_hilim_u,photflux_aper_hilim_s,flux_aper_b,flux_aper_h,flux_aper_m,flux_aper_u,flux_aper_s,flux_aper_lolim_b,flux_aper_lolim_h,flux_aper_lolim_m,flux_aper_lolim_u,flux_aper_lolim_s,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_hilim_m,flux_aper_hilim_u,flux_aper_hilim_s
295,1.733e-12,8.884e-13,2.098e-12,1.73e-12,2.087e-12,7.851e-13,1.728e-12,1.088e-12,2.132e-12,0.000134964,0.0001176322,0.000158244,1.183565e-12,1.07179575e-12,1.295335e-12,0.0003533,0.0002884,1.19e-05,,2.122e-05,0.0003136,0.0002606,1.231e-06,,1.273e-05,0.000393,0.0003163,2.257e-05,2.964e-05,2.971e-05,2.345e-12,2.321e-12,3.613e-14,,3.213e-14,2.159e-12,2.101e-12,7.903e-15,,1.928e-14,2.532e-12,2.54e-12,6.435e-14,,4.499e-14
296,1.099e-12,1.034e-12,1.151e-12,1.131e-12,1.182e-12,1.071e-12,1.135e-12,1.07e-12,1.189e-12,7.371026000000002e-05,7.030822e-05,7.708739999999999e-05,5.0764022e-13,4.867922e-13,5.278324e-13,0.0001978,0.0001486,1.953e-05,1.69e-06,9.313e-07,0.0001904,0.0001426,1.772e-05,3.674e-07,4.537e-07,0.0002051,0.0001547,2.124e-05,3.012e-06,1.385e-06,1.256e-12,1.228e-12,5.161e-14,7.461e-16,1.845e-15,1.21e-12,1.176e-12,4.683e-14,1.622e-16,9.688e-16,1.302e-12,1.277e-12,5.611e-14,1.33e-15,2.722e-15
297,1.019e-12,9.539e-13,1.073e-12,1.033e-12,1.071e-12,9.856e-13,1.058e-12,9.977e-13,1.104e-12,7.32056e-05,6.99916e-05,7.65803e-05,6.0180275e-13,5.76953e-13,6.263350000000001e-13,0.0001969,0.0001488,1.811e-05,,2.218e-06,0.0001894,0.0001427,1.634e-05,,1.518e-06,0.0002043,0.000155,1.978e-05,9.025e-07,2.919e-06,1.19e-12,1.169e-12,4.511e-14,,3.101e-15,1.145e-12,1.12e-12,4.069e-14,,2.122e-15,1.235e-12,1.217e-12,4.926e-14,,4.08e-15
298,9.466e-13,8.869e-13,9.949e-13,9.937e-13,1.04e-12,9.286e-13,9.707e-13,9.015e-13,1.024e-12,7.18218e-05,6.834856e-05,7.52948e-05,4.409662e-13,4.2224102000000007e-13,4.59241e-13,0.0001918,0.000146,1.716e-05,2.64e-06,1.509e-06,0.0001845,0.0001399,1.544e-05,9.599e-07,9.429e-07,0.0001992,0.0001521,1.878e-05,4.32e-06,2.074e-06,1.091e-12,1.067e-12,4.277e-14,2.02e-15,2.041e-15,1.049e-12,1.022e-12,3.848e-14,4.661e-16,1.259e-15,1.132e-12,1.111e-12,4.681e-14,3.573e-15,2.822e-15
299,1.244e-12,1.189e-12,1.286e-12,1.263e-12,1.302e-12,1.215e-12,1.283e-12,1.232e-12,1.329e-12,7.966344e-05,7.685628e-05,8.24508e-05,5.5903494e-13,5.4097514e-13,5.770970000000001e-13,0.0002144,0.0001615,2.036e-05,5.872e-07,1.47e-06,0.000208,0.0001563,1.884e-05,1.174e-07,1.024e-06,0.0002207,0.0001667,2.188e-05,1.057e-06,1.917e-06,1.386e-12,1.351e-12,5.522e-14,5.887e-16,2.366e-15,1.345e-12,1.307e-12,5.111e-14,1.177e-16,1.648e-15,1.427e-12,1.395e-12,5.934e-14,1.06e-15,3.085e-15
300,1.11e-12,1.027e-12,1.173e-12,1.143e-12,1.203e-12,1.078e-12,1.153e-12,1.066e-12,1.214e-12,7.425177999999999e-05,7.057190000000001e-05,7.803892e-05,6.614745e-13,6.30846575e-13,6.9233975e-13,0.0002002,0.00015,2.015e-05,,9.089e-07,0.0001916,0.0001428,1.807e-05,,3.895e-07,0.0002088,0.0001571,2.222e-05,6.466e-07,1.428e-06,1.312e-12,1.277e-12,5.546e-14,,1.438e-15,1.256e-12,1.217e-12,4.977e-14,,6.163e-16,1.368e-12,1.338e-12,6.114e-14,,2.219e-15
301,1.262e-12,1.079e-12,1.376e-12,1.264e-12,1.362e-12,1.159e-12,1.322e-12,1.17e-12,1.43e-12,8.47228e-05,7.909679999999999e-05,9.0683e-05,7.94193e-13,7.443810000000001e-13,8.427525e-13,0.0002285,0.0001708,2.175e-05,,2.564e-06,0.0002153,0.0001602,1.858e-05,,1.404e-06,0.0002418,0.0001815,2.491e-05,1.482e-06,3.723e-06,1.575e-12,1.54e-12,5.762e-14,,4.152e-15,1.481e-12,1.445e-12,4.925e-14,,2.274e-15,1.663e-12,1.636e-12,6.598e-14,,6.03e-15
302,1.233e-12,1.202e-12,1.26e-12,1.219e-12,1.245e-12,1.191e-12,1.274e-12,1.244e-12,1.302e-12,8.045140000000001e-05,7.78978e-05,8.29824e-05,6.9851875e-13,6.835969999999999e-13,7.134299999999999e-13,0.0002134,0.0001564,2.239e-05,7.857e-06,2.21e-06,0.0002092,0.000153,2.131e-05,4.216e-06,1.763e-06,0.0002176,0.0001597,2.348e-05,1.15e-05,2.632e-06,1.386e-12,1.344e-12,6.024e-14,,3.835e-15,1.359e-12,1.315e-12,5.732e-14,,3.068e-15,1.413e-12,1.373e-12,6.316e-14,,4.56e-15
303,1.282e-12,1.249e-12,1.311e-12,1.285e-12,1.311e-12,1.258e-12,1.324e-12,1.292e-12,1.355e-12,8.17278e-05,7.93212e-05,8.40768e-05,5.79405e-13,5.668644e-13,5.922922e-13,0.0002187,0.0001631,2.136e-05,3.675e-06,1.804e-06,0.0002143,0.0001596,2.027e-05,1.05e-06,1.386e-06,0.000223,0.0001666,2.246e-05,6.125e-06,2.199e-06,1.437e-12,1.399e-12,5.769e-14,,3.335e-15,1.408e-12,1.369e-12,5.475e-14,,2.572e-15,1.465e-12,1.43e-12,6.063e-14,1.773e-15,4.058e-15
304,1.108e-12,1.035e-12,1.162e-12,1.12e-12,1.173e-12,1.072e-12,1.145e-12,1.084e-12,1.199e-12,7.39504e-05,7.064282e-05,7.72624e-05,5.23615e-13,5.0289194e-13,5.446980199999999e-13,0.000199,0.0001486,2.036e-05,9.344e-07,8.576e-07,0.0001917,0.0001426,1.852e-05,,3.941e-07,0.0002064,0.0001546,2.22e-05,1.814e-06,1.298e-06,1.296e-12,1.266e-12,5.476e-14,,1.315e-15,1.249e-12,1.215e-12,4.982e-14,,6.397e-16,1.344e-12,1.317e-12,5.971e-14,7.901e-16,1.99e-15
305,1.216e-12,1.189e-12,1.242e-12,1.209e-12,1.235e-12,1.187e-12,1.264e-12,1.235e-12,1.289e-12,8.005e-05,7.785459999999999e-05,8.2236e-05,5.735338e-13,5.594744000000001e-13,5.87595e-13,0.0002128,0.0001566,2.219e-05,6.508e-06,2.152e-06,0.000209,0.0001536,2.121e-05,3.698e-06,1.765e-06,0.0002166,0.0001597,2.317e-05,9.17e-06,2.54e-06,1.401e-12,1.364e-12,5.998e-14,3.93e-14,3.389e-15,1.376e-12,1.337e-12,5.734e-14,2.425e-14,2.782e-15,1.426e-12,1.391e-12,6.262e-14,5.436e-14,3.995e-15
306,1.268e-12,1.253e-12,1.282e-12,1.282e-12,1.295e-12,1.267e-12,1.316e-12,1.302e-12,1.332e-12,8.22712e-05,8.09588e-05,8.35436e-05,5.917574e-13,5.823036e-13,6.010513999999999e-13,0.0002178,0.0001631,2.129e-05,7.55e-06,1.616e-06,0.0002155,0.0001613,2.073e-05,5.842e-06,1.422e-06,0.00022,0.0001649,2.184e-05,9.168e-06,1.81e-06,1.432e-12,1.401e-12,5.724e-14,6.594e-14,2.607e-15,1.418e-12,1.385e-12,5.575e-14,5.047e-14,2.298e-15,1.447e-12,1.416e-12,5.874e-14,8.06e-14,2.917e-15
307,1.229e-12,1.203e-12,1.254e-12,1.233e-12,1.256e-12,1.208e-12,1.274e-12,1.247e-12,1.299e-12,8.094720000000001e-05,7.87904e-05,8.30954e-05,5.810254e-13,5.636508e-13,5.9819e-13,0.0002143,0.0001588,2.153e-05,7.71e-06,2.396e-06,0.0002107,0.0001558,2.061e-05,4.837e-06,2.005e-06,0.000218,0.0001618,2.246e-05,1.043e-05,2.787e-06,1.392e-12,1.354e-12,5.799e-14,9.737e-14,3.767e-15,1.369e-12,1.329e-12,5.55e-14,6.16e-14,3.154e-15,1.416e-12,1.379e-12,6.047e-14,1.311e-13,4.38e-15
308,4.785e-13,4.585e-13,4.965e-13,4.898e-13,5.071e-13,4.69e-13,4.915e-13,4.683e-13,5.105e-13,3.282358e-05,3.1214779999999997e-05,3.43808e-05,2.183482e-13,2.1128244e-13,2.2577779999999997e-13,8.656e-05,6.438e-05,8.201e-06,4.06e-06,9.169e-07,8.396e-05,6.234e-05,7.595e-06,1.522e-06,6.569e-07,8.915e-05,6.63e-05,8.807e-06,6.47e-06,1.177e-06,5.424e-13,5.264e-13,2.156e-14,,1.381e-15,5.262e-13,5.093e-13,1.994e-14,,9.722e-16,5.586e-13,5.426e-13,2.318e-14,2.74e-15,1.769e-15
309,6.402e-13,5.294e-13,6.862e-13,6.213e-13,6.844e-13,4.264e-13,6.246e-13,4.67e-13,6.838e-13,3.9134019999999996e-05,3.7507480000000005e-05,4.2631039999999995e-05,2.996328e-13,2.8730844e-13,3.1303840000000003e-13,0.0001136,8.16e-05,4.701e-07,,,0.000109,7.829e-05,2.474e-07,,,0.0001182,8.492e-05,6.929e-07,9.173e-06,1.693e-07,7.434e-13,7.532e-13,1.564e-15,,,7.132e-13,7.225e-13,8.422e-16,,,7.736e-13,7.839e-13,2.286e-15,5.144e-15,2.62e-16
310,,,,,,,,,,1.06166e-06,4.4797999999999997e-07,1.68726e-06,9.346199999999998e-16,5.631e-16,1.4935999999999999e-15,1.373e-06,,3.2e-07,2.988e-06,6.273e-07,9.775e-07,,1.689e-07,7.171e-07,3.764e-07,1.768e-06,1.889e-07,4.622e-07,5.139e-06,8.782e-07,2.404e-15,,8.452e-16,2.869e-16,1.137e-15,1.661e-15,,4.508e-16,,7.037e-16,3.146e-15,9.691e-16,1.221e-15,5.889e-16,1.543e-15
311,,,,,,,,,,3.8758000000000003e-07,1.31912e-07,1.02716e-06,4.37108e-15,1.770026e-15,7.36014e-15,1.128e-06,5.034e-07,,,3.065e-07,5.012e-07,1.305e-07,,,2.786e-08,1.723e-06,8.762e-07,2.744e-07,1.677e-06,5.852e-07,1.077e-14,1.06e-14,,,4.854e-16,5.516e-15,3.29e-15,,,4.413e-17,1.576e-14,1.755e-14,6.969e-16,1.867e-15,9.268e-16
312,,,,,,,,,,4.328e-08,1.8818e-09,4.2282e-07,2.627e-16,1.142e-17,8.249499999999999e-16,,,2.164e-07,,,,,9.409e-09,,,5.285e-07,2.21e-07,4.14e-07,7.827e-07,1.679e-07,,,5.254e-16,,,,,2.284e-17,,,6.449e-16,,1.005e-15,,
313,,,,,,,,,,,,4.1788e-07,,,5.537e-16,,,,,,,,,,,5.812e-07,2.083e-07,2.616e-07,7.563e-07,2.82e-07,,,,,,,,,,,5.621e-16,,7.057e-16,,3.933e-16
314,,,,,,,,,,2.5418e-07,1.7386799999999998e-07,4.1552000000000006e-07,8.75125e-16,5.147725e-16,1.2203999999999999e-15,7.53e-07,1.741e-07,2.389e-07,,1.049e-07,5.719e-07,9.533e-08,1.651e-07,,3.701e-08,9.246e-07,2.528e-07,3.128e-07,4.178e-07,1.696e-07,1.505e-15,1.219e-15,6.13e-16,,1.635e-16,9.839e-16,5.938e-16,4.269e-16,,5.449e-17,1.997e-15,1.813e-15,7.991e-16,,2.725e-16
315,,,,,,,,,,3.6316000000000003e-07,2.19534e-07,6.4606e-07,1.74588e-15,1.0870600000000002e-15,3.3289399999999996e-15,1.026e-06,4.039e-07,1.95e-07,,1.909e-07,7.143e-07,2.334e-07,8.821e-08,,6.176e-08,1.337e-06,5.745e-07,3.018e-07,6.97e-07,3.2e-07,4.213e-15,3.76e-15,4.46e-16,,3.104e-16,2.978e-15,2.172e-15,1.849e-16,,1.004e-16,5.448e-15,5.347e-15,6.963e-16,4.633e-15,5.204e-16
